Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEE 02 DE BRASILIA;53000200;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 612 MODULO D, ASA SUL. ASA SUL. 70200-720 Brasília - DF.";(61) 39017608;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;"Atendimento Educacional Especializado, Atividade Complementar";-15.8321632;-47.9080864
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEJA ASA SUL - CESAS;53000234;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 602, PROJECAO D. ASA SUL. 70200-620 Brasília - DF.";(61) 39012605;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação de Jovens Adultos;Atendimento Educacional Especializado;-15.8094245;-47.8821157
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;CEE 01 DE BRASILIA;53000439;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 912, 42/48 CONJUNTO E LOTE. ASA SUL. 70390-120 Brasília - DF.";(61) 39017629;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-15.8150375;-47.9183525
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA;CEE DE DEFICIENTES VISUAIS;53000714;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 612 L2 SUL, CONJUNTO J AREA ESPECIAL. ASA SUL. 70200-720 Brasília - DF.";(61) 39017607;Estadual;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;"Atendimento Educacional Especializado, Atividade Complementar";-15.8318887883797;-47.9083681851625
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 01 DE BRASILIA;53000846;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 106, SEM NUMERO AREA ESPECIAL. ASA SUL. 70345-000 Brasília - DF.";(61) 39012511;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-15.8127721;-47.8978548
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 01 DO PLANALTO;53000854;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 315, AREA ESPECIAL S/Nº. ASA SUL. 70384-000 Brasília - DF.";(61) 39018207;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8282444;-47.924538
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 02 DE BRASILIA;53000862;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 107, S/N AREA ESPECIAL. ASA SUL. 70346-000 Brasília - DF.";(61) 39012512;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8152996;-47.9012136
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 03 DE BRASILIA;53000870;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 103, AE. ASA SUL. 70342-000 Brasília - DF.";(61) 39011533;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8054062;-47.8914289
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 04 DE BRASILIA;53000889;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 113 AREA ESPECIAL, ASA SUL. 70376-000 Brasília - DF.";(61) 39012498;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.827251;-47.9171199
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 05 DE BRASILIA;53000897;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 408, AE. ASA SUL. 70257-000 Brasília - DF.";(61) 39011521;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.82326;-47.899752
